productID,userId,rating,comment,label
74021317,7991785,5,Một quyển sách hay,pos
187827003,18150739,5,"Mình đã từng đọc sơ nội dung sách, rất hay, rất đáng để nghiền ngẫm. _x000D_
Tiki đóng gói oki, sách không bị nhăn hay rách, góc sách còn nguyên vẹn. Có điều giao hàng nhanh quá mình hơi sốc, còn lại đều ổn! 🥰",pos
271380890,497788,5,"Quyển sách đẹp về hình thức, nội dung mới đọc đã thấy tò mò, hấp dân. Cám ơn Tác giả đã mang đến một quyển sách này.",pos
74021317,19165924,5,"Sách đẹp, hài lòng",pos
105483727,10170816,5,"sách đóng gói cẩn thận, giao hành nhanh",pos
189643105,27115159,5,Ok sách đẹp,pos
120219394,10327781,5,Sách in chất lượng tốt. Vận chuyển nhanh.,pos
104741661,8203625,5,"Giao hàng nhanh, sách được đóng gói cẩn thận, nội dung sách thì mình có đọc qua trên mạng thấy hay nên mới quyết định mua",pos
74021317,9755694,5,Ô kê con dê giao nhanh chóng mặt tiki là nhất tiki là số 1 về giao hàng,pos
74021317,14003265,5,Mê luôn! Brazil không chỉ có những ngôi sao bóng đá mà còn có cả ngôi sao cầm bút,pos
271380890,9157250,5,Hộp hơi xấu xí nhưng may mắn là ruột (sách) vẫn an toàn !,pos
162205263,21480957,5,"đóng gói cẩn thận, sách đẹp, in sáng rõ, giá combo 2 cuốn siêu rẻ :3",pos
157240665,22901826,5,ổn,pos
102629318,23408244,5,"Sách mới giấy bên trong là giấy bóng cực đẹp, mỗi ngày đọc 1 bức thư thì còn gì bằng",pos
52584834,307697,5,"Hàng giao nhanh như tên lửa, đóng gói cẩn thận",pos
271380890,365076,5,Sản phẩm được gói cẩn thận,pos
74021317,7620308,5,"sách mỏng nhẹ, mình khá là thích nội dung cuốn sách, rất nhẹ nhàng 
tiki gói hàng cẩn thận, mình cảm thấy hài lòng",pos
140360874,17003581,5,"Sách rất hay, rất bổ ích cho các bạn muốn trở thành nhà bán hàng giỏi nhé 😊😊😊",pos
74021317,11037306,5,"Sản phẩm chất lượng như mong đợi. Giao hàng nhanh, đóng gói kĩ càng nhưng hi vọng lần tới có bọc chống xóc.",pos
189643105,29033278,5,"Sách mới, gói cẩn thận, đáng giá mua",pos
157240665,28720522,5,"Mình mua hôm sale 3.3, quyển Đảo Mộng Mơ giá 76k, Ra Bờ Suối Ngắm Hoa Kèn Hồng 112k, quá là rẻ đẹp luôn, em trai mình có tất cả quyển bìa mềm của bác rồi nên mình đọc ké, còn bìa cứng này mình mua để kỷ niệm thôi hehe TIKI giao hàng siêu nhanh luôn ạ",pos
145288029,10959966,5,Sách dày hơn mình nghĩ. Giao hàng nhanh. Rất đáng tiền,pos
54614797,21141637,5,"sách là mẩu chuyện ngắn, ko phải các câu chuyện có liên quan đến nhau",pos
140416370,214227,5,Tốt,pos
168283405,415114,5,Ok,pos
114937969,22698630,5,nhìn sách đẹp rất tạo cảm hứng đọc,pos
3304875,13603174,5,"Sách mới cứng, đc bọc cẩn thận. Giao hàng nhanh lắm ạ. Mua làm quà tặng rất ưng ạ. Tiki lại 1 lần nữa k làm mình thất vọng",pos
113530805,26732811,5,Thích vô cùng,pos
74021317,20706346,5,"Đang đọc đc nửa cuốn nhưng đã thấy hay rồi, rất xứng đáng với giá tiền!♥️",pos
262977989,138485,5,"Sách rất hay và hữu ích, nghe tới kế toán, tài chính là ngán ngẩm khô khan nhưng đọc quyển sách này thì khác hẳn. Học kế toán mà rất trực quan, dễ đọc, dễ hiểu.",pos
187827003,8887994,5,sách được đóng gói cẩn thận và giao nhanh,pos
140416370,24549514,5,"Sách được đóng gói kĩ càng, hình thức tốt, còn mới.",pos
74021317,7586482,5,Sách giao được bọc cẩn thận. Hài lòng,pos
273633981,9891621,5,"sách đep ,giao nhanh còn có thiệp cảm ơn nữa",pos
275928713,13097836,5,"Đọc để có thể áp dụng EASY đúng cách hơn_x000D_
Nhiều kiến thức hay bổ ích",pos
159004131,11244201,5,"Sách hay giao hàng nhanh, đóng gói cẩn thận",pos
